NuSTAR_ID,RA,Dec,R425,eR425,ER425,HR1,eHR1,EHR1,HR2,eHR2,EHR2,XMM_ID,T11_ID,T11_ID_2,T11_ID_3,Category
1,23.46105,30.660042,205.5,1.1,1.2,-0.245,-0.005,0.005,-0.786,-0.006,0.005,654,325,318,321,"ULX(I, H, P)"
2,23.3687,30.457672,55.9,0.75,0.79,-0.019,-0.012,0.012,-0.791,-0.014,0.015,1,180,-999,-999,"I(Z, H)"
3,23.350071,30.732233,10.87,0.45,0.48,-0.071,-0.033,0.034,-0.777,-0.056,0.054,9,156,158,-999,I
4,23.391317,30.536358,7.84,0.338,0.346,-0.576,-0.037,0.035,-0.89,-999,-999,3,225,-999,-999,S
5,23.660458,30.918378,6.861,0.412,0.441,0.165,-0.056,0.054,-0.527,-0.075,0.07,16,561,-999,-999,I(Z)
6,23.605917,30.921258,5.934,0.2,0.625,0.048,-0.056,0.054,-0.484,-0.063,0.086,14,492,-999,-999,I
7,23.135592,30.504333,4.22,1,1.05,0.261,-0.225,0.251,-0.337,-0.281,0.26,-999,-999,-999,-999,H
8,23.222604,30.552394,3.131,0.25,0.422,0.129,-0.087,0.088,-0.364,-0.1,0.112,6,37,-999,-999,I(H)
9,23.388396,30.520033,3.11,0.562,0.319,-0.2,-0.1,0.093,-0.329,-0.175,0.126,2,221,-999,-999,S
10,23.375804,30.567758,2.624,0.525,0.327,0.058,-0.106,0.11,-0.423,-0.2,0.125,4,195,-999,-999,I(H)
11,23.255617,30.531489,2.346,0.35,0.365,0.22,-0.1,0.094,-0.567,-0.15,0.125,5,64,-999,-999,H I)
12,23.725033,30.897903,2.104,0.45,0.481,0.449,-0.25,0.271,0.058,-0.2,0.188,-999,-999,-999,-999,P
13,23.650704,30.787375,2.058,0.337,0.347,0.304,-0.138,0.147,-0.366,-0.175,0.159,13,553,-999,-999,H(P)
14,23.645767,30.945156,1.971,0.525,0.492,0.05,-0.3,0.313,-0.202,-0.325,0.296,17,546,-999,-999,I(H)
15,23.444554,30.630453,1.97,0.25,0.257,-0.025,-0.125,0.138,-0.393,-0.15,0.156,615,299,-999,-999,S(I)
16,23.158571,30.522978,1.861,0.5,0.525,0.236,-0.262,0.302,-0.144,-0.3,0.265,27,-999,-999,-999,H
17,23.339908,30.647075,1.721,0.225,0.234,0.327,-0.163,0.164,-0.022,-0.125,0.121,-999,141,-999,-999,H(P)
18,23.427292,30.715106,1.629,0.225,0.234,0.318,-0.137,0.14,-0.432,-0.15,0.141,10,281,-999,-999,P
19,23.557758,30.957517,1.609,0.3,0.291,0.342,-0.175,0.173,-0.22,-0.175,0.173,-999,-999,-999,-999,H
20,23.488104,30.623206,1.485,0.225,0.234,0.124,-0.137,0.148,-0.877,-999,-999,7,347,-999,-999,"Z(H, I)"
21,23.509762,30.825836,1.425,0.276,0.29,0.377,-0.2,0.225,-0.334,-0.188,0.18,-999,396,-999,-999,P
22,23.507542,30.6741,1.379,0.275,0.264,0.256,-0.187,0.206,-0.491,-0.25,0.219,-999,-999,-999,-999,"H(P, I)"
23,23.496046,30.833381,1.355,0.175,0.429,-0.126,-0.175,0.183,-0.314,-0.262,0.275,12,365,-999,-999,S(I)
24,23.516083,30.700231,1.158,0.3,0.306,0.153,-0.213,0.218,-0.523,-0.35,0.281,-999,398,405,-999,I
25,23.590408,30.822908,1.129,0.187,0.2,0.138,-0.137,0.132,-0.68,-999,-999,-999,-999,-999,-999,H(Z)
26,23.63725,30.868261,1.055,0.225,0.235,-0.039,-0.2,0.2,-0.155,-0.262,0.232,-999,-999,-999,-999,I
27,23.675458,30.879858,1.023,0.3,0.306,0.378,-0.3,0.344,-0.055,-0.262,0.235,15,577,-999,-999,P
28,23.559742,30.793358,0.914,0.225,0.234,0.056,-0.25,0.24,0.008,-0.263,0.232,11,-999,-999,-999,I(H)